Name,GK,CB,CM,ST,RW,LB
I. Brizuela,13.6,46.0,66.0,71.0,75.0,55.0
D. Ginczek,11.2,53.0,59.0,74.0,65.0,47.0
I. Fernández,10.2,60.0,74.0,69.0,73.0,65.0
M. Sarr,9.8,74.0,67.0,61.0,64.0,73.0
S. Kljestan,10.2,66.0,74.0,70.0,72.0,67.0
F. Pardo,10.6,50.0,68.0,75.0,75.0,54.0
C. Maggio,8.6,73.0,72.0,73.0,72.0,74.0
Salvador Agra,9.4,43.0,66.0,68.0,75.0,57.0
J. Figal,10.0,74.0,64.0,57.0,60.0,71.0
V. Vada,11.6,65.0,74.0,69.0,73.0,68.0
Andeson Trigo,11.0,69.0,74.0,70.0,75.0,74.0
Gottardi,73.4,,,,,
J. Gondorf,10.2,71.0,74.0,69.0,71.0,72.0
Alex Alegría,10.6,44.0,58.0,74.0,67.0,45.0
M. Jørgensen,12.2,74.0,64.0,57.0,56.0,69.0
J. Walters,9.0,66.0,71.0,74.0,72.0,65.0
R. Bensebaini,10.8,74.0,63.0,58.0,61.0,70.0
Trashorras,13.0,68.0,74.0,64.0,65.0,67.0
J. McArthur,1.0,73.0,74.0,67.0,69.0,72.0
Botía,11.4,74.0,60.0,62.0,55.0,66.0
S. Ward,12.4,74.0,69.0,66.0,67.0,74.0
Pedrinho,10.6,61.0,74.0,69.0,74.0,68.0
A. Robertson,10.0,71.0,69.0,67.0,72.0,74.0
M. Alcoraz,13.0,74.0,58.0,58.0,55.0,65.0
B. Sarmiento,10.8,40.0,67.0,68.0,75.0,51.0
Lafortiscinho,10.4,72.0,68.0,63.0,68.0,74.0
Rubén Pérez,11.2,71.0,71.0,61.0,62.0,68.0
H. Acevedo,10.4,74.0,60.0,57.0,56.0,66.0
D. Maroh,8.4,74.0,54.0,50.0,47.0,66.0
A. Baredia,10.2,74.0,57.0,55.0,52.0,68.0
R. Haps,11.0,70.0,68.0,66.0,71.0,74.0
K. Linetty,10.4,71.0,74.0,67.0,71.0,71.0
T. Hernández,8.6,72.0,64.0,66.0,68.0,74.0
Ricardo,72.8,,,,,
S. Dzhanaev,73.8,,,,,
O. Niasse,10.4,46.0,60.0,74.0,70.0,50.0
R. Borré,11.6,47.0,66.0,74.0,74.0,52.0
E. Zukanović,11.6,74.0,62.0,57.0,55.0,71.0
N. Isimat-Mirin,12.0,74.0,54.0,46.0,44.0,66.0
S. Özbayraklı,10.8,72.0,72.0,68.0,72.0,74.0
Toño García,12.0,67.0,72.0,66.0,74.0,74.0
Mattheus Oliveira,9.8,60.0,74.0,70.0,73.0,64.0
A. Szalai,11.4,53.0,65.0,74.0,66.0,48.0
A. Peñaranda,9.4,48.0,68.0,74.0,76.0,54.0
B. Koné,10.4,74.0,55.0,53.0,48.0,66.0
L. Torreira,7.8,66.0,74.0,63.0,71.0,71.0
M. Sels,74.0,,,,,
S. Falette,11.0,74.0,55.0,54.0,51.0,67.0
A. Cerci,10.2,48.0,67.0,72.0,75.0,52.0
F. Kamano,11.8,44.0,64.0,71.0,75.0,53.0
T. Gebre Selassie,9.6,72.0,69.0,65.0,69.0,74.0
H. Vanaken,10.8,51.0,74.0,72.0,71.0,56.0
R. Mason,11.4,69.0,74.0,69.0,72.0,71.0
O. Ivanov,8.6,67.0,75.0,72.0,73.0,68.0
E. Bolindos,11.0,74.0,73.0,72.0,69.0,72.0
J. Lopendañez,10.0,73.0,72.0,65.0,68.0,72.0
S. Gürler,10.6,48.0,67.0,71.0,75.0,58.0
M. Mantovani,11.0,74.0,61.0,56.0,52.0,66.0
A. Surman,12.2,66.0,74.0,66.0,69.0,67.0
S. Sensi,9.6,64.0,74.0,60.0,69.0,68.0
J. Ferri,11.8,69.0,74.0,68.0,71.0,69.0
Omar Ramos,11.8,44.0,68.0,66.0,74.0,53.0
Victildinho,11.6,70.0,71.0,65.0,70.0,74.0
D. Jensen,74.4,,,,,
A. Umar,8.6,57.0,70.0,70.0,75.0,64.0
L. Zelarayán,1.0,51.0,70.0,68.0,74.0,58.0
N. El Zhar,10.8,47.0,68.0,71.0,75.0,55.0
K. Naughton,10.2,73.0,66.0,62.0,64.0,74.0
J. Lerma,11.4,72.0,73.0,68.0,70.0,75.0
T. Leistner,12.0,74.0,59.0,54.0,54.0,69.0
Isaac Becerra,73.2,,,,,
R. Kishna,10.2,42.0,66.0,70.0,75.0,52.0
M. Halstenberg,12.8,73.0,68.0,68.0,68.0,74.0
L. Dunk,11.6,74.0,60.0,54.0,49.0,66.0
P. Goltz,11.2,74.0,63.0,61.0,58.0,68.0
D. Türüç,12.2,60.0,73.0,67.0,73.0,67.0
G. Jara,11.4,74.0,67.0,60.0,62.0,70.0
D. Poloz,10.0,44.0,69.0,74.0,76.0,52.0
J. Badamontes,9.6,38.0,67.0,68.0,74.0,50.0
A. Cohen,9.0,74.0,69.0,66.0,66.0,72.0
A. McGeady,10.0,52.0,70.0,71.0,76.0,58.0
S. Cardenia,13.8,59.0,70.0,68.0,74.0,68.0
Kaimo Lima,9.4,74.0,69.0,67.0,67.0,73.0
De la Bella,10.4,75.0,70.0,62.0,65.0,74.0
L. Ciman,12.0,74.0,71.0,65.0,65.0,73.0
José Cañas,11.0,71.0,68.0,55.0,58.0,68.0
Renato Neto,13.2,73.0,74.0,70.0,68.0,71.0
F. Brienza,7.4,55.0,75.0,66.0,75.0,64.0
Z. Labyad,12.0,43.0,68.0,70.0,75.0,52.0
Titi,12.8,74.0,52.0,52.0,45.0,63.0
J. Carrizo,74.4,,,,,
Lekue,13.2,69.0,74.0,70.0,75.0,73.0
Djavan,8.6,72.0,66.0,64.0,68.0,74.0
Davi Parrela,10.0,74.0,55.0,53.0,51.0,66.0
Luna,9.2,72.0,67.0,67.0,68.0,74.0
L. González Pirez,11.0,74.0,70.0,63.0,63.0,72.0
M. Oršić,11.2,43.0,66.0,70.0,74.0,53.0
S. Salihović,9.0,67.0,74.0,71.0,72.0,66.0
C. Dawson,6.8,75.0,61.0,60.0,59.0,72.0
M. Schnatterer,7.2,47.0,70.0,68.0,74.0,57.0
F. Carrizo,7.4,48.0,70.0,69.0,73.0,57.0
O. Kharbin,8.6,44.0,58.0,74.0,70.0,47.0
M. Sall,12.8,74.0,56.0,55.0,47.0,63.0
Y. Benalouane,13.0,74.0,58.0,54.0,52.0,69.0
J. Biabiany,7.2,44.0,64.0,70.0,75.0,54.0
H. Tekin,73.8,,,,,
L. Pisculichi,10.0,47.0,70.0,69.0,73.0,53.0
Adrián,12.0,44.0,67.0,74.0,74.0,47.0
G. González,11.2,74.0,59.0,57.0,54.0,69.0
P. Nakoulma,12.8,52.0,66.0,74.0,75.0,57.0
W. Boly,9.8,74.0,57.0,54.0,53.0,69.0
Welthon,11.2,45.0,64.0,74.0,74.0,50.0
C. Pavón,10.0,40.0,67.0,71.0,75.0,51.0
C. Villanueva,12.8,46.0,72.0,66.0,72.0,55.0
G. Donsah,10.4,68.0,74.0,69.0,74.0,72.0
A. Aquilani,11.2,63.0,74.0,69.0,71.0,64.0
Manu García,9.8,74.0,68.0,64.0,63.0,71.0
J. Sorbon,11.0,73.0,57.0,47.0,47.0,65.0
L. Orbán,13.0,74.0,65.0,61.0,62.0,73.0
S. Araujo,12.0,41.0,67.0,73.0,74.0,50.0
J. Svensson,12.0,72.0,70.0,66.0,68.0,73.0
K. Mokotjo,11.2,68.0,73.0,61.0,68.0,71.0
Duirval Diniz,11.0,73.0,57.0,53.0,49.0,66.0
J. Hopf,73.0,,,,,
B. Dabo,9.0,75.0,73.0,73.0,74.0,75.0
André Martins,11.6,55.0,73.0,67.0,74.0,64.0
N. Karelis,9.8,48.0,62.0,73.0,71.0,51.0
V. Jovanović,9.0,73.0,63.0,58.0,59.0,69.0
Alex Bergantiños,11.0,72.0,68.0,57.0,58.0,67.0
David Juncà,10.4,70.0,63.0,58.0,64.0,73.0
R. Riou,74.2,,,,,
L. Sobiech,9.2,73.0,53.0,57.0,47.0,64.0
Guerrero,11.2,51.0,65.0,73.0,68.0,52.0
J. Drobný,69.0,,,,,
A. Acquah,7.8,73.0,73.0,69.0,72.0,74.0
S. van Beek,8.6,73.0,53.0,48.0,46.0,67.0
G. Maripán,10.8,73.0,52.0,50.0,45.0,64.0
D. Braghieri,8.6,73.0,57.0,57.0,51.0,65.0
B. Berisha,12.8,47.0,61.0,73.0,70.0,48.0
Da Costa,72.2,,,,,
M. Dossevi,12.0,46.0,68.0,69.0,74.0,54.0
Léo Bonatini,12.0,49.0,63.0,73.0,70.0,52.0
S. Sam,12.4,46.0,68.0,72.0,75.0,52.0
V. Acerval,73.4,,,,,
R. Petrović,11.2,73.0,70.0,64.0,62.0,69.0
A. Corveto,73.6,,,,,
Edercinho Sepa,9.4,72.0,72.0,72.0,68.0,70.0
A. Clayton,11.0,69.0,72.0,63.0,68.0,71.0
O. Othman,9.2,73.0,54.0,49.0,47.0,66.0
E. Velázquez,11.0,73.0,61.0,55.0,51.0,66.0
Jaime Romero,10.0,48.0,68.0,70.0,74.0,55.0
A. Waris,3.0,52.0,67.0,73.0,75.0,57.0
M. Russ,10.4,73.0,56.0,52.0,43.0,60.0
Márcio Azevedo,12.0,73.0,70.0,69.0,72.0,73.0
J. Denayer,12.4,73.0,60.0,57.0,59.0,71.0
Fernando Navarro,9.0,75.0,66.0,60.0,62.0,73.0
Pascoal Muscato,10.2,72.0,71.0,68.0,66.0,69.0
R. Laborde,8.8,43.0,65.0,71.0,74.0,52.0
Y. Seleznyov,11.4,52.0,62.0,73.0,67.0,52.0
A. Nagy,9.4,67.0,75.0,64.0,72.0,72.0
J. Ward,8.6,75.0,68.0,64.0,64.0,73.0
J. Schunke,9.8,73.0,56.0,46.0,41.0,63.0
A. Sinitsyn,73.0,,,,,
A. Barnes,9.4,56.0,65.0,73.0,70.0,56.0
A. Ba,13.0,73.0,51.0,48.0,43.0,64.0
J. Adéoti,9.6,73.0,65.0,56.0,58.0,69.0
Zeng Cheng,72.8,,,,,
Saúl Berjón,10.6,47.0,69.0,71.0,73.0,53.0
S. Armenteros,15.4,47.0,63.0,73.0,71.0,50.0
J. Neiroga,10.4,68.0,66.0,64.0,69.0,73.0
C. Beauvue,13.4,52.0,64.0,73.0,70.0,53.0
Candeias,10.6,53.0,67.0,70.0,73.0,60.0
Y. Öztekin,11.4,51.0,68.0,70.0,74.0,57.0
A. Scholz,9.6,73.0,66.0,61.0,60.0,69.0
Danilo,11.0,75.0,73.0,70.0,70.0,72.0
E. Akbaba,10.0,53.0,71.0,71.0,73.0,59.0
J. Molina,14.0,74.0,70.0,68.0,66.0,72.0
P. Roberts,9.2,34.0,66.0,66.0,74.0,47.0
M. Lopez,10.2,56.0,73.0,66.0,72.0,63.0
A. Maher,9.6,55.0,72.0,68.0,73.0,64.0
D. Machís,9.8,45.0,65.0,70.0,75.0,53.0
M. Kempf,11.4,73.0,60.0,53.0,53.0,67.0
M. Casco,10.8,70.0,68.0,67.0,69.0,73.0
Caio Milaçar,11.4,45.0,68.0,66.0,71.0,53.0
Víctor Álvarez,7.4,70.0,72.0,65.0,70.0,73.0
J. Amavi,11.6,71.0,69.0,70.0,71.0,73.0
C. Chantôme,11.6,68.0,73.0,70.0,70.0,67.0
G. Pandev,11.0,49.0,70.0,73.0,74.0,53.0
L. Sepe,71.8,,,,,
M. Hawsawi,10.8,73.0,51.0,51.0,49.0,66.0
B. Watson,9.4,68.0,73.0,67.0,68.0,69.0
Juankar,8.8,69.0,71.0,69.0,72.0,73.0
S. Al Faraj,13.2,70.0,73.0,69.0,71.0,70.0
G. Carrillo,9.6,50.0,63.0,73.0,66.0,48.0
Ayoze Pérez,11.4,42.0,65.0,73.0,73.0,46.0
C. Nevorrete,13.6,73.0,68.0,61.0,66.0,73.0
R. Gestede,9.6,51.0,59.0,73.0,63.0,48.0
C. Jean,11.6,40.0,66.0,73.0,75.0,50.0
J. Pavlenka,72.6,,,,,
V. Berisha,12.6,57.0,70.0,69.0,72.0,60.0
G. Ferrari,10.0,73.0,49.0,41.0,37.0,62.0
G. Svensson,12.0,72.0,67.0,57.0,57.0,68.0
Gerso,9.6,44.0,65.0,69.0,74.0,56.0
Rubén Peña,10.8,62.0,68.0,73.0,75.0,67.0
N. Araujo,8.6,73.0,59.0,55.0,51.0,68.0
Enaldo Praz,8.6,72.0,68.0,59.0,64.0,73.0
Ivan Cavaleiro,12.4,51.0,66.0,71.0,73.0,57.0
S. Kırıntılı,72.0,,,,,
E. Crivelli,11.0,50.0,64.0,73.0,67.0,48.0
F. Andrijašević,11.2,62.0,72.0,75.0,71.0,62.0
J. Basanta,10.2,73.0,59.0,59.0,55.0,67.0
Diego Farías,7.6,37.0,66.0,69.0,75.0,49.0
D. Maietta,9.2,73.0,49.0,39.0,39.0,62.0
Lora,12.0,69.0,67.0,65.0,67.0,73.0
Rômulo,8.6,70.0,73.0,68.0,72.0,72.0
L. Baker,9.8,58.0,73.0,72.0,73.0,62.0
A. Najar,11.4,69.0,72.0,69.0,74.0,73.0
T. Ndombele,9.2,70.0,71.0,66.0,69.0,71.0
Arbilla,11.8,76.0,68.0,64.0,64.0,73.0
T. Ciğerci,11.0,72.0,72.0,68.0,68.0,72.0
N. Elvedi,11.0,73.0,64.0,55.0,59.0,72.0
Odriozola,10.4,68.0,57.0,54.0,59.0,73.0
O. Şahan,9.8,61.0,73.0,72.0,73.0,65.0
P. Lasogga,9.2,51.0,54.0,73.0,60.0,44.0
I. Scocco,11.6,46.0,68.0,73.0,74.0,51.0
M. Besler,10.6,73.0,66.0,56.0,59.0,71.0
Marcelo Goiano,11.2,70.0,64.0,60.0,65.0,73.0
D. Falcinelli,8.8,39.0,61.0,73.0,67.0,42.0
M. López,11.2,43.0,61.0,73.0,67.0,40.0
André Geraldes,9.4,72.0,64.0,59.0,64.0,73.0
I. Maksimov,11.4,58.0,72.0,69.0,71.0,60.0
Claudemir,13.0,68.0,73.0,68.0,68.0,69.0
B. Poulain,7.0,73.0,60.0,45.0,45.0,64.0
T. Rogić,11.8,48.0,68.0,70.0,72.0,52.0
Raúl Fernández,71.8,,,,,
L. Schaub,12.2,49.0,67.0,68.0,73.0,55.0
P. Crouch,11.6,47.0,68.0,73.0,67.0,46.0
Víctor Díaz,11.4,72.0,67.0,65.0,66.0,73.0
Jailson Caeiro,12.8,69.0,67.0,63.0,67.0,73.0
G. Daralla,10.0,73.0,59.0,53.0,51.0,66.0
T. Mykhalyk,13.4,73.0,63.0,55.0,56.0,69.0
N. Vikonis,72.4,,,,,
Kiko Olivas,10.4,73.0,62.0,60.0,54.0,67.0
M. Kanunnikov,11.8,54.0,67.0,73.0,73.0,58.0
A. Prijović,10.4,51.0,62.0,73.0,68.0,51.0
L. Abecasis,10.6,68.0,67.0,59.0,69.0,73.0
Matheus Pereira,13.2,46.0,67.0,71.0,74.0,54.0
F. Pereyra,11.8,44.0,67.0,71.0,74.0,54.0
Kel Perinho,10.8,73.0,64.0,55.0,54.0,67.0
L. Butelle,72.6,,,,,
R. Walter,11.4,68.0,73.0,64.0,69.0,71.0
E. Evaldes,10.4,73.0,63.0,61.0,59.0,71.0
Hugo Goiteira,12.0,73.0,58.0,54.0,48.0,62.0
S. Gakpé,12.0,43.0,65.0,73.0,75.0,52.0
M. Laba,13.0,71.0,70.0,64.0,65.0,71.0
Fábio Melitinho,10.4,41.0,69.0,67.0,71.0,49.0
Yoon Bo Sang,73.2,,,,,
D. Suárez,11.2,71.0,66.0,66.0,67.0,73.0
R. Quaison,10.4,60.0,71.0,68.0,73.0,65.0
R. Centurión,7.8,50.0,68.0,68.0,74.0,60.0
Hong Chul,11.4,68.0,68.0,62.0,68.0,73.0
B. Afobe,7.8,44.0,63.0,73.0,71.0,47.0
José Mirazar,10.0,46.0,69.0,69.0,73.0,53.0
G. Peñalba,9.2,70.0,73.0,68.0,67.0,67.0
M. Rojas,8.8,33.0,65.0,65.0,74.0,48.0
Diego Mariño,72.8,,,,,
Carles Planas,13.4,71.0,63.0,57.0,63.0,73.0
Kim Jin Su,9.6,70.0,65.0,54.0,64.0,73.0
G. Contreso,11.0,73.0,57.0,53.0,49.0,66.0
Kaíqundo Calado,12.6,73.0,61.0,56.0,53.0,68.0
M. Hedges,12.6,73.0,59.0,50.0,47.0,65.0
A. Çalık,9.2,73.0,60.0,57.0,54.0,69.0
J. Ledley,11.4,72.0,72.0,68.0,67.0,70.0
Míchel,10.0,56.0,72.0,67.0,71.0,60.0
S. Igboun,15.0,50.0,63.0,73.0,73.0,56.0
E. Albayrak,8.2,66.0,72.0,70.0,74.0,73.0
C. Adam,7.2,64.0,73.0,70.0,69.0,62.0
N. Barresta,11.2,56.0,71.0,67.0,73.0,61.0
Lato,9.6,68.0,68.0,64.0,69.0,73.0
Suk Hyun Jun,8.8,49.0,62.0,73.0,68.0,49.0
T. Ince,10.4,38.0,65.0,68.0,74.0,49.0
Víctor Rodríguez,11.6,51.0,69.0,69.0,74.0,58.0
David Rodríguez,10.4,47.0,59.0,73.0,70.0,51.0
J. Kembo-Ekoko,10.0,48.0,67.0,72.0,74.0,53.0
S. Anđelković,9.8,73.0,52.0,51.0,48.0,66.0
A. Katai,10.6,49.0,70.0,72.0,74.0,54.0
Élton,11.6,42.0,68.0,67.0,74.0,56.0
N. de Jong,2.8,73.0,69.0,61.0,62.0,70.0
M. Dijks,11.6,73.0,65.0,58.0,62.0,73.0
S. Decarli,10.8,73.0,54.0,51.0,50.0,67.0
A. Miranchuk,10.4,44.0,69.0,68.0,72.0,52.0
M. Nervo,9.4,73.0,61.0,59.0,56.0,70.0
K. Mączyński,10.4,69.0,74.0,64.0,69.0,71.0
D. Kreilach,10.4,69.0,73.0,70.0,68.0,67.0
N. Fuenzas,9.4,72.0,72.0,72.0,68.0,70.0
T. Torun,9.4,40.0,67.0,69.0,73.0,50.0
A. Chipciu,12.6,55.0,70.0,70.0,73.0,61.0
Jorge,9.6,67.0,70.0,65.0,70.0,73.0
U. Emanuelson,3.8,69.0,73.0,69.0,75.0,73.0
D. Vera,12.2,46.0,64.0,73.0,70.0,49.0
B. Nivet,9.4,58.0,73.0,69.0,70.0,60.0
L. Carole,12.0,72.0,68.0,61.0,67.0,73.0
F. Al Muwallad,11.2,48.0,65.0,71.0,73.0,56.0
D. Congré,9.6,73.0,64.0,53.0,58.0,70.0
M. Rensing,72.8,,,,,
Renato Santos,11.0,42.0,66.0,70.0,74.0,53.0
Àngel Rangel,9.8,76.0,71.0,66.0,68.0,73.0
D. Kuzyaev,11.8,69.0,73.0,66.0,70.0,72.0
P. Retomal,10.2,72.0,71.0,68.0,66.0,69.0
Marlon Nideiro,8.6,41.0,67.0,66.0,74.0,54.0
B. Dejaegere,8.2,69.0,73.0,68.0,72.0,71.0
Jacson Zonta,10.4,43.0,67.0,67.0,73.0,52.0
J. Morel,10.6,74.0,65.0,63.0,63.0,73.0
R. Fanni,13.4,72.0,64.0,61.0,62.0,70.0
F. Sammaritano,10.8,37.0,69.0,66.0,72.0,47.0
Joel Robles,74.2,,,,,
J. Riedewald,12.2,73.0,70.0,63.0,66.0,73.0
T. Sivok,11.2,73.0,59.0,54.0,52.0,66.0
E. Cardona,11.6,52.0,69.0,72.0,72.0,54.0
R. Falk Jensen,11.4,42.0,64.0,69.0,73.0,50.0
J. Martínez,11.0,48.0,68.0,72.0,74.0,55.0
Leo Caldeirinha,15.4,45.0,67.0,72.0,74.0,50.0
T. Sainsbury,11.2,73.0,66.0,61.0,62.0,72.0
N. Schulz,11.6,69.0,69.0,64.0,70.0,73.0
Alvildo Sousa,11.8,48.0,69.0,71.0,72.0,54.0
David Neres,9.6,45.0,66.0,70.0,74.0,54.0
B. Hamid,72.4,,,,,
J. McClean,13.6,64.0,69.0,71.0,73.0,66.0
D. Delaney,10.4,73.0,53.0,48.0,42.0,63.0
F. Đuričić,9.6,47.0,69.0,68.0,73.0,55.0
E. Barreto,12.2,70.0,73.0,68.0,69.0,71.0
F. Mubele,10.2,42.0,60.0,73.0,70.0,44.0
M. Mahi,10.4,49.0,66.0,73.0,73.0,54.0
V. Kovalenko,10.6,63.0,72.0,71.0,73.0,68.0
J. Šimunović,7.6,73.0,58.0,50.0,50.0,66.0
D. N'Dinga,10.0,72.0,68.0,61.0,61.0,70.0
A. Meret,72.4,,,,,
C. Montes,8.4,73.0,63.0,56.0,56.0,68.0
M. Radović,9.0,54.0,69.0,71.0,72.0,55.0
D. Valdés,10.6,58.0,71.0,71.0,73.0,62.0
J. Cuadrado,72.0,,,,,
Fabiano,73.4,,,,,
I. Opara,10.6,73.0,59.0,56.0,53.0,67.0
Claudiano Sobrino,10.6,71.0,73.0,65.0,70.0,72.0
Hélton Celanova,12.2,41.0,62.0,73.0,65.0,40.0
B. Dramé,6.8,71.0,66.0,64.0,67.0,73.0
P. Bengtsson,10.2,69.0,70.0,66.0,70.0,73.0
Raul García,10.8,71.0,69.0,65.0,68.0,73.0
M. Milligan,11.0,73.0,69.0,63.0,63.0,71.0
D. Čop,13.0,46.0,66.0,73.0,70.0,51.0
O. Gonzalez,13.4,73.0,55.0,50.0,46.0,65.0
E. Bicfalvi,12.4,62.0,72.0,73.0,70.0,62.0
Erick Gameira,8.2,46.0,61.0,73.0,71.0,52.0
M. Erdinç,10.6,55.0,68.0,73.0,71.0,57.0
Nosa,13.0,69.0,73.0,73.0,72.0,70.0
Pol Lirola,10.2,70.0,68.0,62.0,68.0,73.0
W. Hennessey,,,,,,
Gao Lin,9.2,62.0,72.0,73.0,72.0,64.0
E. Skhiri,13.0,72.0,71.0,66.0,68.0,71.0
Bruno Xadas,11.6,60.0,72.0,68.0,73.0,64.0
A. Büttner,11.4,71.0,71.0,70.0,72.0,73.0
N. Hult,11.8,68.0,70.0,65.0,71.0,73.0
Rúben Vezo,10.4,73.0,60.0,55.0,54.0,68.0
A. Pérez,11.4,72.0,70.0,64.0,64.0,68.0
Jadson Vidigal,9.6,41.0,59.0,73.0,67.0,44.0
J. Drmić,10.0,51.0,66.0,73.0,72.0,56.0
A. McGregor,73.0,,,,,
Rúben Ribeiro,11.4,56.0,71.0,70.0,74.0,61.0
G. Angella,12.0,73.0,58.0,52.0,46.0,63.0
A. Martynovich,10.8,73.0,61.0,59.0,57.0,70.0
I. Nestorovski,13.2,46.0,58.0,73.0,67.0,49.0
Cristiano,9.6,51.0,66.0,73.0,73.0,56.0
L. Zuffi,11.6,69.0,76.0,69.0,73.0,71.0
Emilio Piodão,12.6,72.0,72.0,68.0,68.0,71.0
S. Larsson,10.8,66.0,73.0,71.0,72.0,67.0
S. Carson,73.2,,,,,
A. Erokhin,12.4,66.0,73.0,73.0,71.0,67.0
G. Torje,12.2,48.0,66.0,70.0,74.0,56.0
S. Duffy,11.2,73.0,57.0,53.0,48.0,64.0
Postigo,10.0,73.0,54.0,55.0,49.0,65.0
E. Peñarendi,10.4,41.0,69.0,67.0,71.0,49.0
Edvaldisco,10.4,71.0,73.0,67.0,70.0,73.0
F. Ayité,11.4,41.0,65.0,72.0,75.0,49.0
A. Christiansen,9.0,69.0,73.0,67.0,70.0,71.0
G. Sakai,10.0,70.0,67.0,61.0,66.0,73.0
R. Brégerie,11.4,73.0,57.0,51.0,49.0,64.0
Vasco Fernandes,11.8,73.0,62.0,55.0,58.0,71.0
Diogo Figueiras,12.8,70.0,69.0,65.0,71.0,73.0
D. Accam,12.0,52.0,64.0,69.0,74.0,61.0
A. El Ghazi,10.8,45.0,64.0,75.0,74.0,51.0
E. Triverio,10.8,46.0,60.0,73.0,68.0,49.0
B. Rasaldo,10.0,46.0,69.0,69.0,73.0,53.0
M. Villanueva,9.8,73.0,54.0,49.0,44.0,65.0
C. Ünder,9.2,42.0,66.0,70.0,74.0,53.0
Thiago Mendes,11.2,70.0,73.0,70.0,72.0,74.0
P. Barrientos,10.4,47.0,69.0,68.0,72.0,52.0
Filipe Augusto,10.4,67.0,73.0,67.0,70.0,68.0
P. Capelle,12.4,67.0,73.0,71.0,74.0,71.0
H. Rodallega,7.8,52.0,67.0,73.0,72.0,56.0
A. Epureanu,10.2,73.0,59.0,62.0,54.0,66.0
M. Caraglio,10.0,46.0,61.0,73.0,68.0,45.0
B. Dja Djédjé,10.0,72.0,71.0,67.0,70.0,73.0
Paulinho,11.8,36.0,67.0,66.0,72.0,48.0
Maurício António,10.8,73.0,54.0,48.0,46.0,66.0
C. Gordon,72.2,,,,,
A. Costa,11.2,69.0,73.0,70.0,70.0,68.0
Nélson Oliveira,7.8,53.0,65.0,73.0,70.0,53.0
Eraso,11.4,65.0,74.0,71.0,71.0,67.0
M. Konaté,8.8,41.0,58.0,73.0,72.0,49.0
W. Barrios,14.2,73.0,67.0,55.0,59.0,71.0
Perdigão,10.6,41.0,67.0,70.0,74.0,51.0
A. Costa,9.6,73.0,56.0,52.0,53.0,69.0
N. Rigoni,9.2,69.0,73.0,63.0,66.0,68.0
V. Gabulov,73.8,,,,,
I. Kahveci,13.4,53.0,71.0,70.0,73.0,60.0
Sebas Couteira,11.8,51.0,67.0,68.0,74.0,58.0
Miguel Rosa,10.8,53.0,71.0,72.0,73.0,57.0
Walace,11.0,72.0,69.0,66.0,65.0,68.0
Albentosa,12.2,73.0,55.0,52.0,44.0,62.0
M. Locatelli,11.8,69.0,73.0,66.0,69.0,71.0
V. Vasin,8.6,73.0,57.0,51.0,48.0,69.0
C. Obasi,10.6,53.0,66.0,73.0,73.0,56.0
D. Percidino,8.6,41.0,67.0,66.0,74.0,54.0
C. Despredal,10.4,43.0,67.0,67.0,73.0,52.0
Kauã Abranches,13.8,59.0,70.0,68.0,74.0,68.0
H. Seferović,11.2,54.0,66.0,73.0,70.0,56.0
Z. Gera,10.8,65.0,73.0,71.0,72.0,66.0
Chema Rodríguez,11.6,73.0,60.0,58.0,55.0,69.0
C. Ninga,10.0,45.0,62.0,73.0,72.0,51.0
R. Sobhi,12.4,52.0,69.0,68.0,73.0,58.0
T. Bifouma,11.4,44.0,58.0,73.0,72.0,51.0
A. Masina,10.8,71.0,66.0,58.0,63.0,73.0
D. Schwaab,10.0,73.0,65.0,57.0,59.0,72.0
V. Bessat,10.6,66.0,72.0,68.0,73.0,69.0
M. Ostrzolek,11.4,71.0,66.0,60.0,65.0,73.0
A. Naranjeda,15.4,45.0,67.0,72.0,74.0,50.0
Nicolás Formido,8.8,51.0,71.0,70.0,73.0,55.0
E. Cerutti,10.8,43.0,66.0,70.0,74.0,51.0
Pablo Hernández,10.8,50.0,69.0,68.0,73.0,56.0
J. Johansson,11.0,72.0,71.0,67.0,63.0,68.0
A. Semenov,11.4,73.0,62.0,53.0,52.0,69.0
R. De Paul,11.2,49.0,69.0,68.0,74.0,56.0
Kuca,10.8,40.0,65.0,71.0,73.0,49.0
Ramalho,12.2,73.0,55.0,51.0,54.0,69.0
Kléber,12.6,49.0,66.0,73.0,70.0,49.0
Ewerton,10.0,73.0,59.0,52.0,53.0,67.0
J. Gustaldo,12.2,41.0,62.0,73.0,65.0,40.0
C. Bovo,10.0,73.0,60.0,54.0,51.0,65.0
Dani Pacheco,11.0,43.0,69.0,67.0,73.0,51.0
D. Aogo,11.0,73.0,72.0,65.0,69.0,73.0
M. Meñarez,8.2,46.0,61.0,73.0,71.0,52.0
S. Ristovski,8.2,71.0,68.0,67.0,69.0,73.0
Rafael,73.2,,,,,
Sérgio Oliveira,10.0,55.0,73.0,70.0,73.0,60.0
Diego,10.4,54.0,70.0,71.0,73.0,59.0
O. Dramé,11.4,51.0,64.0,70.0,74.0,58.0
K. Lamprou,72.6,,,,,
M. Janko,10.8,49.0,58.0,73.0,64.0,46.0
I. Tsallagov,9.2,69.0,68.0,60.0,67.0,73.0
I. Santini,11.2,53.0,63.0,73.0,62.0,47.0
C. Sortomayrés,9.6,41.0,59.0,73.0,67.0,44.0
